Type,Trans Date,Post Date,Description,Amount
SALE,05/18/2017,05/21/2017,"DUNKIN #338749     Q35",-4.22
FEE,05/21/2017,05/21/2017,"PURCHASE INTEREST CHARGE",-40.82
SALE,05/19/2017,05/21/2017,"DUNKIN #338749     Q35",-2.49
FEE,05/21/2017,05/21/2017,"CASH ADVANCE INTEREST CHA",-16.34
SALE,05/17/2017,05/19/2017,"MTA MVM*B024A-KINGS HWY",-20.95
SALE,05/17/2017,05/19/2017,"DUNKIN #338749     Q35",-4.99
SALE,05/16/2017,05/18/2017,"MTA MVM*B024A-KINGS HWY",-11.50
SALE,05/15/2017,05/17/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/14/2017,05/15/2017,"STOLOVAYA",-64.00
SALE,05/12/2017,05/14/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/09/2017,05/11/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/09/2017,05/11/2017,"MCDONALD'S F4210",-1.09
SALE,05/09/2017,05/11/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/09/2017,05/10/2017,"HEROKU APR-11310118",-59.44
SALE,05/08/2017,05/10/2017,"DUNKIN #338749     Q35",-3.79
SALE,05/04/2017,05/07/2017,"DUNKIN #338749     Q35",-4.99
SALE,05/06/2017,05/07/2017,"DUNKIN #338749     Q35",-4.99
PAYMENT,05/05/2017,05/05/2017,"Payment Thank You - Web",97.00
SALE,05/02/2017,05/04/2017,"DUNKIN #338749     Q35",-3.79
SALE,05/02/2017,05/04/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/01/2017,05/03/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/03/2017,05/03/2017,"Amazon web services",-0.58
SALE,04/30/2017,05/02/2017,"DUNKIN #338749     Q35",-3.79
SALE,04/29/2017,05/01/2017,"MCDONALD'S F4210",-1.95
SALE,04/30/2017,05/01/2017,"STOLOVAYA",-60.00
SALE,04/28/2017,04/30/2017,"DUNKIN #338749     Q35",-2.49
SALE,04/27/2017,04/30/2017,"DUNKIN #338749     Q35",-2.49
SALE,04/26/2017,04/28/2017,"DUNKIN #338749     Q35",-3.79
SALE,04/28/2017,04/28/2017,"BURGER KING #1294",-1.84
SALE,04/25/2017,04/27/2017,"DUNKIN #338749     Q35",-2.49
SALE,04/26/2017,04/27/2017,"UPCASE",-29.00
SALE,04/24/2017,04/26/2017,"DUNKIN #338749     Q35",-3.79
SALE,04/24/2017,04/25/2017,"SIMPLEMOBILE*SERVICES",-41.47
SALE,04/20/2017,04/23/2017,"MCDONALD'S F4210",-1.09
FEE,04/21/2017,04/21/2017,"CASH ADVANCE INTEREST CHA",-16.53
FEE,04/21/2017,04/21/2017,"PURCHASE INTEREST CHARGE",-39.63
SALE,04/17/2017,04/19/2017,"MCDONALD'S F4210",-2.17
SALE,04/16/2017,04/18/2017,"MCDONALD'S F4210",-2.17
SALE,04/14/2017,04/16/2017,"MCDONALD'S F4210",-1.09
SALE,04/13/2017,04/16/2017,"DUNKIN #338749     Q35",-4.67
SALE,04/13/2017,04/16/2017,"MCDONALD'S F4210",-4.12
SALE,04/12/2017,04/14/2017,"MCDONALD'S F4210",-1.09
SALE,04/11/2017,04/13/2017,"MCDONALD'S F4210",-1.09
SALE,04/10/2017,04/12/2017,"MCDONALD'S F4210",-1.09
SALE,04/11/2017,04/12/2017,"HEROKU MAR-10978052",-62.00
SALE,04/09/2017,04/11/2017,"MCDONALD'S F4210",-1.09
SALE,04/08/2017,04/10/2017,"MCDONALD'S F4210",-1.09
PAYMENT,04/09/2017,04/09/2017,"Payment Thank You - Web",88.00
SALE,04/07/2017,04/09/2017,"DUNKIN #338749     Q35",-2.49
SALE,04/07/2017,04/09/2017,"DUNKIN #338749     Q35",-2.49
SALE,04/03/2017,04/05/2017,"MCDONALD'S F4210",-1.09
SALE,04/03/2017,04/04/2017,"Amazon web services",-0.49
SALE,04/02/2017,04/03/2017,"STOLOVAYA",-33.00
SALE,04/01/2017,04/03/2017,"MCDONALD'S F4210",-4.12
SALE,04/02/2017,04/03/2017,"STOLOVAYA",-30.00
SALE,03/30/2017,04/02/2017,"MCDONALD'S F4210",-1.09
SALE,03/28/2017,03/30/2017,"MCDONALD'S F4210",-1.09
SALE,03/25/2017,03/26/2017,"SIMPLEMOBILE*SERVICES",-41.47
SALE,03/23/2017,03/26/2017,"MCDONALD'S F4210",-1.09
SALE,03/21/2017,03/23/2017,"MCDONALD'S F4210",-4.12
SALE,03/20/2017,03/22/2017,"MCDONALD'S F4210",-1.09
FEE,03/21/2017,03/21/2017,"CASH ADVANCE INTEREST CHA",-14.62
FEE,03/21/2017,03/21/2017,"PURCHASE INTEREST CHARGE",-34.10
SALE,03/18/2017,03/20/2017,"MCDONALD'S F4210",-1.09
SALE,03/17/2017,03/19/2017,"MCDONALD'S F4210",-1.09
SALE,03/13/2017,03/15/2017,"MCDONALD'S F4210",-1.09
SALE,03/09/2017,03/10/2017,"HEROKU",-62.00
SALE,03/08/2017,03/10/2017,"MCDONALD'S F4210",-1.09
SALE,03/06/2017,03/08/2017,"MTA MVM*B025-AVENUE U",-32.00
SALE,03/03/2017,03/05/2017,"Amazon web services",-0.44
SALE,03/02/2017,03/05/2017,"MCDONALD'S F4210",-1.09
SALE,03/03/2017,03/05/2017,"MCDONALD'S F4210",-1.09
SALE,03/02/2017,03/05/2017,"MCDONALD'S F4210",-1.09
SALE,03/01/2017,03/03/2017,"MCDONALD'S F4210",-1.09
PAYMENT,03/02/2017,03/02/2017,"Payment Thank You - Web",54.00
SALE,02/23/2017,02/26/2017,"DUNKIN #338749     Q35",-2.49
