Type,Trans Date,Post Date,Description,Amount
PAYMENT,12/14/2017,12/14/2017,"Payment Thank You - Web",2281.86
FEE,11/13/2017,11/13/2017,"PURCHASE INTEREST CHARGE",-33.74
PAYMENT,11/14/2017,11/15/2017,"Payment Thank You - Web",56.00
PAYMENT,10/23/2017,10/23/2017,"Payment Thank You - Web",56.00
SALE,12/26/2017,12/27/2017,"UBER TECHNOLOGIES INC",-11.33
FEE,12/13/2017,12/13/2017,"PURCHASE INTEREST CHARGE",-32.10
