Transaction,Amount
Amazon web services,-14.089999999999998
Bars and Food,-702.170000000001
CASH ADVANCE INTEREST CHA,-215.71
Dos Toros,-12.25
GOOGLE,-295.08
HEROKU,-626.53
MTA,-221.95
PURCHASE INTEREST CHARGE,-453.08
Payment Thank You - Web,1604.0
SIMPLEMOBILE*SERVICES,-374.22
TRANSACTION FEE,-15.0
UPCASE,-58.0
WU *3209829463,-112.0
